Data e Hora,Cidade,Temperatura (°C),Umidade (%),Descrição
28/03/2025 15:08,São Paulo,28.68,64,Céu limpo
28/03/2025 15:08,São Paulo,28.68,64,Céu limpo
28/03/2025 15:09,São Paulo,28.68,64,Céu limpo
